table_field
adr6.addrnumber
adr6.client
adr6.consnumber
adr6.date_from
adr6.dft_receiv
adr6.encode
adr6.flg_nouse
adr6.flgdefault
adr6.home_flag
adr6.is_deleted
adr6.operation_flag
adr6.persnumber
adr6.r3_user
adr6.recordstamp
adr6.smtp_addr
adr6.smtp_srch
adr6.tnef
adr6.valid_from
adr6.valid_to
adrc.addr_group
adrc.address_id
adrc.addrnumber
adrc.addrorigin
adrc.adrc_err_status
adrc.adrc_uuid
adrc.building
adrc.chckstatus
adrc.city1
adrc.city2
adrc.city_code
adrc.city_code2
adrc.cityh_code
adrc.cityp_code
adrc.client
adrc.country
adrc.county
adrc.county_code
adrc.date_from
adrc.date_to
adrc.deflt_comm
adrc.deli_serv_number
adrc.deli_serv_type
adrc.dont_use_p
adrc.dont_use_s
adrc.duns
adrc.dunsp4
adrc.extension1
adrc.extension2
adrc.fax_extens
adrc.fax_number
adrc.flagcomm10
adrc.flagcomm11
adrc.flagcomm12
adrc.flagcomm13
adrc.flagcomm2
adrc.flagcomm3
adrc.flagcomm4
adrc.flagcomm5
adrc.flagcomm6
adrc.flagcomm7
adrc.flagcomm8
adrc.flagcomm9
adrc.flaggroups
adrc.floor
adrc.home_city
adrc.house_num1
adrc.house_num2
adrc.house_num3
adrc.id_category
adrc.is_deleted
adrc.langu
adrc.langu_crea
adrc.location
adrc.mc_city1
adrc.mc_county
adrc.mc_name1
adrc.mc_street
adrc.mc_township
adrc.name1
adrc.name2
adrc.name3
adrc.name4
adrc.name_co
adrc.name_text
adrc.nation
adrc.operation_flag
adrc.pcode1_ext
adrc.pcode2_ext
adrc.pcode3_ext
adrc.pers_addr
adrc.po_box
adrc.po_box_cty
adrc.po_box_lobby
adrc.po_box_loc
adrc.po_box_num
adrc.po_box_reg
adrc.post_code1
adrc.post_code2
adrc.post_code3
adrc.postalarea
adrc.recordstamp
adrc.regiogroup
adrc.region
adrc.roomnumber
adrc.sort1
adrc.sort2
adrc.sort_phn
adrc.str_suppl1
adrc.str_suppl2
adrc.str_suppl3
adrc.street
adrc.streetabbr
adrc.streetcode
adrc.taxjurcode
adrc.tel_extens
adrc.tel_number
adrc.time_zone
adrc.title
adrc.township
adrc.township_code
adrc.transpzone
adrc.uuid_belated
adrc.xpcpt
adrct.addrnumber
adrct.client
adrct.date_from
adrct.is_deleted
adrct.langu
adrct.nation
adrct.operation_flag
adrct.recordstamp
adrct.remark
afko.abarb
afko.adpsp
afko.aennr
afko.aplzt
afko.aprio
afko.arsnr
afko.arsps
afko.atrkz
afko.aufld
afko.aufnr
afko.aufnt
afko.aufpl
afko.aufpt
afko.bedid
afko.bmeins
afko.bmenge
afko.breaks
afko.cfb_adtdays
afko.cfb_bbdpi
afko.cfb_datofm
afko.cfb_lzeih
afko.cfb_maxlz
afko.ch_proc
afko.chsch
afko.colordproc
afko.conf_key
afko.costupd
afko.csplit
afko.cuobj
afko.cy_seqnr
afko.dispo
afko.fevor
afko.fhori
afko.flg_aob
afko.flg_arbei
afko.flg_bundle
afko.freiz
afko.fsh_mprod_ord
afko.ftrmi
afko.ftrmp
afko.ftrms
afko.ftrps
afko.gamng
afko.gasmg
afko.getri
afko.geuzi
afko.gltpp
afko.gltps
afko.gltri
afko.gltrp
afko.gltrs
afko.glupp
afko.glups
afko.gluzp
afko.gluzs
afko.gmein
afko.groid
afko.gsbtr
afko.gstpp
afko.gstps
afko.gstri
afko.gstrp
afko.gstrs
afko.gsupp
afko.gsups
afko.gsuzi
afko.gsuzp
afko.gsuzs
afko.iasmg
afko.igmng
afko.is_deleted
afko.kapt_sichz
afko.kapt_vorgz
afko.kapversa
afko.kbed
afko.kkalkr
afko.klvari
afko.klvarp
afko.kzerb
afko.lead_aufnr
afko.lknot
afko.lodiv
afko.mandt
afko.maufnr
afko.max_gamng
afko.mes_routingid
afko.mill_oc_zuskz
afko.mill_ratio
afko.mzaehl
afko.naucost
afko.nauterm
afko.netzkont
afko.no_disp
afko.nopcost
afko.ntzue
afko.objtype
afko.oihantyp
afko.operation_flag
afko.paenr
afko.pdatv
afko.plart
afko.plauf
afko.plgrp
afko.plnal
afko.plnaw
afko.plnbez
afko.plnme
afko.plnnr
afko.plnty
afko.plsvb
afko.plsvn
afko.pnetendd
afko.pnetendt
afko.pnetstartd
afko.pnetstartt
afko.posnr_rma
afko.posnv_rma
afko.prodnet
afko.profid
afko.pronr
afko.prueflos
afko.pverw
afko.ratid
afko.rdkzp
afko.recordstamp
afko.redkz
afko.revlv
afko.rgekz
afko.rknot
afko.rmanr
afko.rmnga
afko.rmzhl
afko.rshid
afko.rshty
afko.rsnid
afko.rsnty
afko.rsnum
afko.rueck
afko.saenr
afko.sbmeh
afko.sbmng
afko.sdatv
afko.sfcpf
afko.sichz
afko.sichz_trm
afko.slsbs
afko.slsvn
afko.splstat
afko.st_arbid
afko.stlal
afko.stlan
afko.stlbez
afko.stlnr
afko.stlst
afko.stlty
afko.stufe
afko.terhw
afko.terkz
afko.trkzp
afko.trmdt
afko.upter
afko.vfmng
afko.vorgz
afko.vorgz_trm
afko.vorue
afko.vsnmr_v
afko.vwegx
afko.wegxx
afko.zaehl
afko.zkriz
afpo.ablad
afpo.amein
afpo.anzsn
afpo.arsnr
afpo.arsps
afpo.aufnr
afpo.berid
afpo.beskz
afpo.bwtar
afpo.bwtty
afpo.ch_proc
afpo.charg
afpo.cuobj
afpo.cuobj_root
afpo.dauat
afpo.dauty
afpo.dfrei
afpo.dgltp
afpo.dglts
afpo.dnrel
afpo.dwerk
afpo.elikz
afpo.etrmp
afpo.fsh_collection
afpo.fsh_salloc_qty
afpo.fsh_season
afpo.fsh_season_year
afpo.fsh_theme
afpo.fxpru
afpo.gsber
afpo.gsbtr
afpo.iamng
afpo.insmk
afpo.is_deleted
afpo.kalnr
afpo.kbnkz
afpo.kckey
afpo.kdauf
afpo.kdein
afpo.kdpos
afpo.knttp
afpo.krsnr
afpo.krsps
afpo.ksbis
afpo.ksvon
afpo.kunnr2
afpo.kzavc
afpo.kzbws
afpo.kzvbr
afpo.lgort
afpo.ltrmi
afpo.ltrmp
afpo.mandt
afpo.matnr
afpo.meins
afpo.mill_oc_aufnr_u
afpo.mill_oc_rumng
afpo.mill_oc_sort
afpo.ndisr
afpo.objnp
afpo.objtype
afpo.operation_flag
afpo.pamng
afpo.pgmng
afpo.plnum
afpo.posnr
afpo.projn
afpo.psamg
afpo.psmng
afpo.psobs
afpo.pwerk
afpo.qunum
afpo.qupos
afpo.recordstamp
afpo.rtp01
afpo.rtp02
afpo.rtp03
afpo.rtp04
afpo.safnr
afpo.sernp
afpo.sernr
afpo.sgt_scat
afpo.sobkz
afpo.strmp
afpo.techs
afpo.techs_copy
afpo.tpauf
afpo.uebtk
afpo.uebto
afpo.umren
afpo.umrez
afpo.untto
